data_venda,id_produto,nome_produto,categoria,filial,vendedor,quantidade,preco_unitario
2025-11-15,PD003,Água Tônica Clássica,Bebidas,ARAUCÁRIA,Ana Silva,25,3.99
2025-09-28,PD005,Salgadinho Cebola 100g,Salgados,PINHAIS,Carlos Souza,34,5.25
2025-11-25,PD004,Refrigerante Gengibre,Bebidas,COLOMBO,Carlos Souza,28,7.0
2025-12-03,PD006,Chocolate Barra 90g,Doces,PINHAIS,Carlos Souza,5,8.5
2025-09-04,PD004,Refrigerante Gengibre,Bebidas,CURITIBA,Mariana Costa,20,7.0
2025-01-04,PD004,Refrigerante Gengibre,Bebidas,PINHAIS,Ana Silva,40,7.0
2025-04-22,PD001,Refrigerante Framboesa,Bebidas,COLOMBO,Carlos Souza,26,6.5
2025-01-07,PD006,Chocolate Barra 90g,Doces,ARAUCÁRIA,Ana Silva,5,8.5
2025-08-18,PD001,Refrigerante Framboesa,Bebidas,COLOMBO,Carlos Souza,36,6.5
2025-03-21,PD002,Soda Limão,Bebidas,COLOMBO,Ricardo Alves,31,4.75
2025-12-11,PD006,Chocolate Barra 90g,Doces,ARAUCÁRIA,João Pereira,20,8.5
2025-05-13,PD004,Refrigerante Gengibre,Bebidas,PINHAIS,Ana Silva,7,7.0
2025-02-07,PD006,Chocolate Barra 90g,Doces,COLOMBO,Ana Silva,24,8.5
2025-08-18,PD003,Água Tônica Clássica,Bebidas,SÃO JOSÉ DOS PINHAIS,Fernanda Lima,35,3.99
2025-06-05,PD001,Refrigerante Framboesa,Bebidas,PINHAIS,Fernanda Lima,34,6.5
2025-03-15,PD004,Refrigerante Gengibre,Bebidas,ARAUCÁRIA,Ana Silva,18,7.0
2025-12-25,PD004,Refrigerante Gengibre,Bebidas,COLOMBO,Carlos Souza,47,7.0
2025-01-21,PD007,Suco Laranja 1L,Sucos,SÃO JOSÉ DOS PINHAIS,Fernanda Lima,8,9.2
2025-11-13,PD001,Refrigerante Framboesa,Bebidas,SÃO JOSÉ DOS PINHAIS,Fernanda Lima,50,6.5
2025-01-29,PD006,Chocolate Barra 90g,Doces,ARAUCÁRIA,Carlos Souza,22,8.5
2025-12-17,PD002,Soda Limão,Bebidas,CURITIBA,João Pereira,48,4.75
2025-02-10,PD006,Chocolate Barra 90g,Doces,CURITIBA,Ricardo Alves,15,8.5
2025-07-11,PD006,Chocolate Barra 90g,Doces,ARAUCÁRIA,Ana Silva,35,8.5
2025-02-07,PD004,Refrigerante Gengibre,Bebidas,SÃO JOSÉ DOS PINHAIS,Mariana Costa,14,7.0
2025-09-05,PD007,Suco Laranja 1L,Sucos,SÃO JOSÉ DOS PINHAIS,Fernanda Lima,14,9.2
2025-09-24,PD006,Chocolate Barra 90g,Doces,CURITIBA,João Pereira,28,8.5
2025-11-07,PD005,Salgadinho Cebola 100g,Salgados,CURITIBA,Ana Silva,42,5.25
2025-05-01,PD003,Água Tônica Clássica,Bebidas,CURITIBA,Ricardo Alves,24,3.99
2025-05-28,PD001,Refrigerante Framboesa,Bebidas,PINHAIS,Ricardo Alves,7,6.5
2025-08-13,PD005,Salgadinho Cebola 100g,Salgados,COLOMBO,Ricardo Alves,47,5.25
2025-04-23,PD001,Refrigerante Framboesa,Bebidas,PINHAIS,Carlos Souza,10,6.5
2025-08-28,PD006,Chocolate Barra 90g,Doces,SÃO JOSÉ DOS PINHAIS,Carlos Souza,9,8.5
2025-11-24,PD003,Água Tônica Clássica,Bebidas,ARAUCÁRIA,Fernanda Lima,40,3.99
2025-05-18,PD002,Soda Limão,Bebidas,ARAUCÁRIA,Carlos Souza,46,4.75
2025-04-08,PD005,Salgadinho Cebola 100g,Salgados,SÃO JOSÉ DOS PINHAIS,Ana Silva,41,5.25
2025-07-06,PD004,Refrigerante Gengibre,Bebidas,CURITIBA,Ana Silva,31,7.0
2025-10-05,PD002,Soda Limão,Bebidas,PINHAIS,João Pereira,35,4.75
2025-10-19,PD005,Salgadinho Cebola 100g,Salgados,SÃO JOSÉ DOS PINHAIS,Mariana Costa,14,5.25
2025-06-29,PD002,Soda Limão,Bebidas,PINHAIS,Mariana Costa,13,4.75
2025-09-07,PD006,Chocolate Barra 90g,Doces,CURITIBA,Fernanda Lima,48,8.5
2025-03-18,PD004,Refrigerante Gengibre,Bebidas,PINHAIS,Mariana Costa,44,7.0
2025-02-03,PD001,Refrigerante Framboesa,Bebidas,CURITIBA,Ana Silva,45,6.5
2025-03-08,PD003,Água Tônica Clássica,Bebidas,CURITIBA,Fernanda Lima,41,3.99
2025-03-31,PD004,Refrigerante Gengibre,Bebidas,ARAUCÁRIA,João Pereira,46,7.0
2025-02-22,PD005,Salgadinho Cebola 100g,Salgados,SÃO JOSÉ DOS PINHAIS,Ricardo Alves,43,5.25
2025-05-07,PD004,Refrigerante Gengibre,Bebidas,PINHAIS,Mariana Costa,36,7.0
2025-05-20,PD007,Suco Laranja 1L,Sucos,COLOMBO,Ricardo Alves,9,9.2
2025-12-15,PD002,Soda Limão,Bebidas,COLOMBO,Ana Silva,6,4.75
2025-08-05,PD006,Chocolate Barra 90g,Doces,SÃO JOSÉ DOS PINHAIS,Carlos Souza,23,8.5
2025-09-27,PD003,Água Tônica Clássica,Bebidas,SÃO JOSÉ DOS PINHAIS,Fernanda Lima,18,3.99
2025-04-08,PD004,Refrigerante Gengibre,Bebidas,PINHAIS,Fernanda Lima,10,7.0
2025-02-20,PD006,Chocolate Barra 90g,Doces,COLOMBO,Carlos Souza,11,8.5
2025-06-05,PD005,Salgadinho Cebola 100g,Salgados,ARAUCÁRIA,Mariana Costa,47,5.25
2025-12-24,PD004,Refrigerante Gengibre,Bebidas,COLOMBO,Ricardo Alves,37,7.0
2025-02-08,PD006,Chocolate Barra 90g,Doces,SÃO JOSÉ DOS PINHAIS,João Pereira,23,8.5
2025-10-12,PD002,Soda Limão,Bebidas,CURITIBA,Ana Silva,42,4.75
2025-04-01,PD004,Refrigerante Gengibre,Bebidas,PINHAIS,Carlos Souza,5,7.0
2025-04-02,PD007,Suco Laranja 1L,Sucos,CURITIBA,Ricardo Alves,18,9.2
2025-08-20,PD004,Refrigerante Gengibre,Bebidas,CURITIBA,Carlos Souza,48,7.0
2025-06-27,PD006,Chocolate Barra 90g,Doces,ARAUCÁRIA,Fernanda Lima,23,8.5
2025-09-23,PD007,Suco Laranja 1L,Sucos,ARAUCÁRIA,Ana Silva,29,9.2
2025-01-03,PD003,Água Tônica Clássica,Bebidas,COLOMBO,Ricardo Alves,34,3.99
2025-12-08,PD007,Suco Laranja 1L,Sucos,ARAUCÁRIA,Mariana Costa,41,9.2
2025-11-20,PD005,Salgadinho Cebola 100g,Salgados,PINHAIS,Mariana Costa,14,5.25
2025-12-19,PD006,Chocolate Barra 90g,Doces,CURITIBA,Mariana Costa,17,8.5
2025-07-29,PD003,Água Tônica Clássica,Bebidas,PINHAIS,João Pereira,23,3.99
2025-06-13,PD006,Chocolate Barra 90g,Doces,ARAUCÁRIA,Ana Silva,37,8.5
2025-07-22,PD007,Suco Laranja 1L,Sucos,SÃO JOSÉ DOS PINHAIS,Ricardo Alves,42,9.2
2025-09-04,PD004,Refrigerante Gengibre,Bebidas,PINHAIS,João Pereira,47,7.0
2025-06-28,PD007,Suco Laranja 1L,Sucos,PINHAIS,Ricardo Alves,24,9.2
2025-06-08,PD001,Refrigerante Framboesa,Bebidas,ARAUCÁRIA,Carlos Souza,47,6.5
2025-09-12,PD006,Chocolate Barra 90g,Doces,ARAUCÁRIA,Carlos Souza,45,8.5
2025-12-06,PD002,Soda Limão,Bebidas,ARAUCÁRIA,Ricardo Alves,21,4.75
2025-12-28,PD007,Suco Laranja 1L,Sucos,SÃO JOSÉ DOS PINHAIS,Ricardo Alves,14,9.2
2025-09-01,PD003,Água Tônica Clássica,Bebidas,SÃO JOSÉ DOS PINHAIS,Ana Silva,40,3.99
2025-01-12,PD007,Suco Laranja 1L,Sucos,CURITIBA,Fernanda Lima,36,9.2
2025-10-28,PD007,Suco Laranja 1L,Sucos,SÃO JOSÉ DOS PINHAIS,Ana Silva,33,9.2
2025-02-16,PD002,Soda Limão,Bebidas,SÃO JOSÉ DOS PINHAIS,Ana Silva,19,4.75
2025-09-03,PD001,Refrigerante Framboesa,Bebidas,COLOMBO,João Pereira,42,6.5
2025-01-12,PD001,Refrigerante Framboesa,Bebidas,CURITIBA,João Pereira,10,6.5
2025-03-13,PD005,Salgadinho Cebola 100g,Salgados,CURITIBA,Mariana Costa,15,5.25
2025-08-29,PD001,Refrigerante Framboesa,Bebidas,PINHAIS,Carlos Souza,21,6.5
2025-04-06,PD006,Chocolate Barra 90g,Doces,ARAUCÁRIA,Ricardo Alves,14,8.5
2025-10-12,PD006,Chocolate Barra 90g,Doces,ARAUCÁRIA,Ricardo Alves,8,8.5
2025-10-03,PD004,Refrigerante Gengibre,Bebidas,CURITIBA,Ricardo Alves,16,7.0
2025-01-07,PD002,Soda Limão,Bebidas,CURITIBA,Mariana Costa,26,4.75
2025-11-05,PD004,Refrigerante Gengibre,Bebidas,CURITIBA,Carlos Souza,31,7.0
2025-06-04,PD005,Salgadinho Cebola 100g,Salgados,CURITIBA,João Pereira,25,5.25
2025-08-20,PD004,Refrigerante Gengibre,Bebidas,SÃO JOSÉ DOS PINHAIS,Ana Silva,17,7.0
2025-06-25,PD001,Refrigerante Framboesa,Bebidas,PINHAIS,Ana Silva,26,6.5
2025-08-19,PD001,Refrigerante Framboesa,Bebidas,ARAUCÁRIA,Fernanda Lima,16,6.5
2025-02-16,PD007,Suco Laranja 1L,Sucos,SÃO JOSÉ DOS PINHAIS,João Pereira,35,9.2
2025-03-17,PD002,Soda Limão,Bebidas,CURITIBA,Mariana Costa,26,4.75
2025-07-17,PD005,Salgadinho Cebola 100g,Salgados,COLOMBO,Carlos Souza,38,5.25
2025-11-26,PD003,Água Tônica Clássica,Bebidas,ARAUCÁRIA,Ana Silva,19,3.99
2025-07-25,PD004,Refrigerante Gengibre,Bebidas,SÃO JOSÉ DOS PINHAIS,Ricardo Alves,5,7.0
